;JAN;FÉV;MAR;AVR;MAI;JUN;JUI;AOÛ;SEP;OCT;NOV;DÉC;Total
2019;499.9;366.4;327.7;275.6;229.8;60.3;24.2;27.9;101.7;194.7;370;406.3;2884.3
2018;376;506.1;407.5;196.3;119.6;44.7;1.5;34.2;103.9;204.3;356;417.5;2767.4
2017;581.9;357;305;318.5;144;41.8;30.8;43.8;143;199;383.8;434.7;2983.1
2016;454.5;392.1;412.7;299.9;174.4;70.9;32.6;37.2;75.3;273.4;378.1;496.5;3097.4
2015;483.3;437.3;383.8;271.2;194.7;72.8;37.4;29.4;151.3;263;275.9;327.3;2927.3
2014;414.4;361.5;350.4;236.9;182.5;82.8;30.9;79.5;90.5;175.6;306.5;447.7;2759
